,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
61,Marsh,Eminem,3802321,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
62,Lucid Dreams,Juice WRLD,3783201,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
63,Heartless,The Weeknd,3584501,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
64,Robbery,Juice WRLD,3576885,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
65,Eleven,Khalid,3575393,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
66,Suge,DaBaby,3545728,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
67,Stepdad,Eminem,3533447,https://open.spotify.com/track/3QVHSV8YKYq4L8tI5rnFgj
68,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem,3526191,https://open.spotify.com/track/5mZXWEH2eh8zMZGCxT5aW0
69,bad guy,Billie Eilish,3421822,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
70,Ransom,Lil Tecca,3322295,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
71,Alfred - Interlude,Eminem,3303161,https://open.spotify.com/track/4EmunTy7kNBYQivOa8F6b8
72,Little Engine,Eminem,3288905,https://open.spotify.com/track/4qNWEOMyexn7b8Icyk29t9
73,223's (feat. 9lokknine),YNW Melly,3271652,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
74,Farewell,Eminem,3246234,https://open.spotify.com/track/74gykWHknHDrg4eMdcmdRq
75,Never Love Again,Eminem,3241215,https://open.spotify.com/track/40YbWniIEmqy6s58fYXLUh
76,"10,000 Hours (with Justin Bieber)",Dan + Shay,3158397,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
77,Money In The Grave (Drake ft. Rick Ross),Drake,3148064,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
78,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3133877,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
79,ORANGE SODA,Baby Keem,3121997,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
80,Start Wit Me (feat. Gunna),Roddy Ricch,3109410,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
